title,year,mpaa,runtime,genres,star_rating,director,stars,gross,release_date
About Last Night,2014,,,Romantic Comedy,,,,"$48,637,684","Feb 14, 2014"
About Schmidt,2002,,,Drama,,,,"$65,005,217","Dec 13, 2002"
About Scout,2016,,,Comedy,,,,$0,"Mar 11, 2016"
About Sunny,2013,,,Drama,,,,$0,"Dec 31, 2013"
About Time,2013,,,Romantic Comedy,,,,"$15,323,921","Nov 1, 2013"
Above and Below,2016,,,Documentary,,,,$0,"Apr 15, 2016"
Above and Beyond,2015,,,Documentary,,,,"$288,751","Jan 30, 2015"
Above Suspicion,1995,,,Drama,,,,$0,"May 21, 1995"
Above Suspicion,1994,,,Thriller/Suspense,,,,$0,"Mar 7, 1994"
Above the Law,1988,,,Action,,,,"$18,869,631","Apr 8, 1988"
Above the Rim,1994,,,Drama,,,,"$16,026,469","Mar 23, 1994"
Abracadabra,2017,,,Comedy,,,,"$13,975","Sep 15, 2017"
Abraham Lincoln,1930,,,Drama,,,,$0,"Nov 8, 1930"
Abraham Lincoln: Vampire Hunter,2012,,,Horror,,,,"$37,519,139","Jun 22, 2012"
Abraham Lincoln vs. Zombies,2012,,,Horror,,,,$0,"Dec 31, 2012"
El abrazo de la serpiente,2016,,,Drama,,,,"$1,329,249","Feb 17, 2016"
Los abrazos rotos,2009,,,Thriller/Suspense,,,,"$5,014,305","Nov 20, 2009"
Abril Despedaçado,2001,,,Drama,,,,"$64,210","Dec 14, 2001"
Absence,2013,,,Horror,,,,$0,"Jul 5, 2013"
Absence of Malice,1981,,,Drama,,,,"$33,312,129","Nov 19, 1981"
The Absent Minded Professor,1961,,,Comedy,,,,"$25,381,407","Mar 16, 1961"
The Absent,2011,,,Thriller/Suspense,,,,$0,"Jan 7, 2011"
Absentia,2011,,,Horror,,,,$0,"Dec 31, 2011"
Absolute Beginners,1986,,,Musical,,,,"$930,211","Apr 18, 1986"
Absolute Deception,2013,,,Action,,,,$0,"Dec 31, 2013"
Absolute Power,1997,,,Thriller/Suspense,,,,"$50,068,310","Feb 14, 1997"
Absolute Rest,2015,,,Drama,,,,$0,"Dec 31, 2015"
Absolute Wilson,2006,,,Documentary,,,,"$66,217","Oct 27, 2006"
Absolutely Anything,2017,,,Comedy,,,,$0,"May 12, 2017"
Absolutely Fabulous: The Movie,2016,,,Comedy,,,,"$4,772,155","Jul 22, 2016"
Absolution,2015,,,Action,,,,$0,"May 15, 2015"
Absurd Accident,2017,,,Multiple Genres,,,,$0,"Dec 31, 2017"
Absurdistan,2009,,,Comedy,,,,"$39,683","Feb 6, 2009"
El Abuelo,1999,,,Drama,,,,"$50,037","Oct 8, 1999"
Abulele,2015,,,Adventure,,,,$0,"Dec 31, 2015"
Abundant Acreage Available,2017,,,Drama,,,,$0,"Oct 6, 2017"
Abus de faiblesse,2014,,,Drama,,,,"$31,557","Aug 22, 2014"
The Abyss,1989,,,Action,,,,"$54,243,125","Aug 9, 1989"
Abzurdah,2015,,,Drama,,,,$0,"Dec 31, 2015"
AC/DC: Let There Be Rock,1982,,,Concert/Performance,,,,"$52,590","Apr 30, 1982"
La academia de las musas,2016,,,Drama,,,,$0,"Sep 2, 2016"
Acantilado,2016,,,Thriller/Suspense,,,,$0,"Dec 31, 2016"
L'Accabadora,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Accelerator,2000,,,,,,,$0,"Dec 31, 2000"
Accepted,2006,,,Comedy,,,,"$36,580,083","Aug 18, 2006"
Access All Areas,2017,,,Drama,,,,$0,"Dec 31, 2017"
Access Code,1984,,,,,,,$0,"Dec 31, 1984"
Access Denied,1996,,,Drama,,,,$0,"Dec 31, 1996"
Accident,2014,,,Drama,,,,"$17,161","May 23, 2014"
Accident Man,2018,,,Action,,,,$0,"Feb 6, 2018"
"Accidental Courtesy: Daryl Davis, Race & America",2017,,,Documentary,,,,"$1,940","Jan 6, 2017"
The Accidental Detective,2014,,,Action,,,,$0,"Dec 31, 2014"
The Accidental Husband,2009,,,Romantic Comedy,,,,$0,"Nov 10, 2009"
Accidental Love,2015,,,Comedy,,,,$0,"Mar 17, 2015"
The Accidental Tourist,1988,,,Drama,,,,"$32,632,000","Dec 23, 1988"
Accidentally Engaged,2016,,,Drama,,,,$0,"Jun 21, 2016"
Accidentally in Love,2011,,,Comedy,,,,$0,"Dec 31, 2011"
Accidentes,2011,,,Comedy,,,,$0,"Dec 31, 2011"
Accidents Happen,2010,,,,,,,$0,"Jul 27, 2010"
The Accountant,2016,,,Thriller/Suspense,,,,"$86,260,045","Oct 14, 2016"
The Accused,1988,,,Drama,,,,"$32,078,318","Oct 14, 1988"
Ace in the Hole,1951,,,Drama,,,,$0,"Jul 4, 1951"
Ace the Case,2016,,,Thriller/Suspense,,,,$0,"Aug 26, 2016"
Ace Ventura: Pet Detective,1994,,,Comedy,,,,"$72,217,396","Feb 4, 1994"
Ace Ventura: Pet Detective Jr.,2009,,,Adventure,,,,$0,"Mar 3, 2009"
Ace Ventura: When Nature Calls,1995,,,Comedy,,,,"$108,360,063","Nov 10, 1995"
Ace Wonder: Message From a Dead Man,2014,,,,,,,$0,"Aug 19, 2014"
