title,year,mpaa,runtime,genres,star_rating,director,stars,gross,release_date
Against a Crooked Sky,1975,,,Western,,,,$0,"Dec 1, 1975"
Against All Enemies,2016,,,Drama,,,,$0,"Dec 31, 2016"
Against All Odds,1984,,,Drama,,,,"$25,100,000","Mar 2, 1984"
Against Goliath,2017,,,Documentary,,,,$0,"Dec 31, 2017"
Against The Current,2009,,,Drama,,,,$0,"Dec 31, 2009"
Against the Dark,2009,,,,,,,$0,"Feb 10, 2009"
Against the Night,2017,,,Horror,,,,$0,"Sep 15, 2017"
Against the Ropes,2004,,,Drama,,,,"$5,881,504","Feb 20, 2004"
Against the Sun,2015,,,Drama,,,,$0,"Jan 23, 2015"
Against the Wall,1994,,,,,,,$0,"Dec 31, 1994"
Against the Wild,2014,,,Adventure,,,,$0,"Mar 11, 2014"
Against the Wild: Survive the Serengeti,2016,,,Adventure,,,,"$107,953","Feb 26, 2016"
Agatha,1979,,,Drama,,,,"$7,500,000","Feb 9, 1979"
AGÃ�VA,2015,,,Drama,,,,$0,"Dec 31, 2015"
L'Ã¢ge d'or,2004,,,Drama,,,,"$32,712","Jan 30, 2004"
L'Ã¢ge des tÃ©nÃ¨bres,2007,,,Comedy,,,,"$1,491,525","Dec 7, 2007"
The Age of Adaline,2015,,,Drama,,,,"$42,629,776","Apr 24, 2015"
Age of Dinosaurs,2013,,,Action,,,,$0,"Dec 31, 2013"
The Age of Innocence,1993,,,Drama,,,,"$32,014,993","Sep 17, 1993"
Age of Kill,2017,,,Action,,,,$0,"Oct 31, 2017"
The Age of Shadows,2016,,,Action,,,,"$540,268","Sep 23, 2016"
Age of the Dragons,2012,,,Adventure,,,,$0,"Jul 24, 2012"
Agent Cody Banks,2003,,,Adventure,,,,"$47,545,060","Mar 14, 2003"
Agent Cody Banks 2: Destination London,2004,,,Adventure,,,,"$23,514,247","Mar 12, 2004"
Agent F.O.X.,2014,,,,,,,$0,"Jul 1, 2014"
Agent Vinod,2012,,,Thriller/Suspense,,,,"$698,210","Mar 23, 2012"
The Agression Scale,2012,,,,,,,$0,"Dec 31, 2012"
The Aggressives,2005,,,Documentary,,,,"$3,769","Oct 7, 2005"
AÄŸÄ±r KelepÃ§e,2017,,,Action,,,,$0,"Dec 31, 2017"
Agneepath,2012,,,Action,,,,"$1,973,574","Jan 6, 2012"
Agnes Browne,1999,,,Comedy,,,,"$140,426","Dec 3, 1999"
Agnes of God,1985,,,Drama,,,,"$25,627,836","Sep 13, 1985"
Agnes und seine BrÃ¼der,2006,,,Drama,,,,"$2,731","Jun 9, 2006"
Agni Varsha,2002,,,Drama,,,,"$25,049","Aug 30, 2002"
Agnyaathavaasi,2017,,,Action,,,,$0,"Dec 31, 2017"
The Agony and the Ecstasy,1965,,,Drama,,,,"$8,000,000","Jan 1, 1965"
Agora,2010,,,Drama,,,,"$619,423","May 28, 2010"
The Agronomist,2004,,,Documentary,,,,"$226,189","Apr 23, 2004"
"Ã�guila Roja, La PelÃ­cula",2011,,,,,,,$0,"Dec 31, 2011"
Aguirre: The Wrath of God,2006,,,Drama,,,,"$12,609","Oct 20, 2006"
Ahead of Time,2010,,,Documentary,,,,"$33,024","Sep 10, 2010"
Ahi va el diablo,2013,,,Horror,,,,"$4,534","Dec 13, 2013"
Ahora o nunca,2015,,,Comedy,,,,$0,"Dec 31, 2015"
Ahwak,2015,,,Romantic Comedy,,,,$0,"Dec 31, 2015"
Ai,2012,,,Drama,,,,$0,"Dec 31, 2012"
Ai Kaen Seupikeu,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Love Exposure,2011,,,Drama,,,,$0,"Sep 2, 2011"
Ai Weiwei: Never Sorry,2012,,,Documentary,,,,"$489,074","Jul 27, 2012"
Ai Weiwei: The Fake Case,2014,,,Documentary,,,,"$57,322","Jan 6, 2014"
AibÃ´ shirÃ®zu Kanshiki Yonezawa Mamoru no jikenbo,2009,,,,,,,$0,"Dec 31, 2009"
Aida at La Scala,2007,,,Concert/Performance,,,,"$222,927","Dec 7, 2007"
Aidaâ€™s Secrets,2017,,,Documentary,,,,"$98,468","Oct 20, 2017"
Aïe,2000,,,Comedy,,,,"$8,289","Dec 1, 2000"
Aile ArasÄ±nda,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Ailecek ÅžaÅŸkÄ±nÄ±z,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Aileen: Life and Death of a Serial Killer,2004,,,Documentary,,,,"$85,992","Jan 9, 2004"
AimÃ©e & Jaguar,2000,,,Drama,,,,"$927,107","Aug 11, 2000"
"Aimer, boire et chanter",2014,,,Drama,,,,"$11,616","Oct 24, 2014"
Ain't No Way Back,1990,,,Horror,,,,$0,"Dec 31, 1990"
Ain't in It for My Health: A Film About Levon Helm,2013,,,Documentary,,,,"$111,794","Mar 31, 2013"
Ain't Them Bodies Saints,2013,,,Drama,,,,"$391,611","Aug 16, 2013"
Air,2015,,,Thriller/Suspense,,,,$0,"Aug 14, 2015"
Air America,1990,,,Action,,,,"$30,506,847","Aug 10, 1990"
Air Bound,2017,,,Adventure,,,,$0,"Feb 14, 2017"
Air Bud,1997,,,Adventure,,,,"$24,646,936","Aug 1, 1997"
Air Bud: Golden Receiver,1998,,,Adventure,,,,"$10,093,523","Aug 14, 1998"
Air Buddies,2006,,,,,,,$0,"Dec 12, 2006"
Air Collision,2011,,,,,,,$0,"Dec 31, 2011"
Air Force One,1997,,,Action,,,,"$172,956,409","Jul 25, 1997"
Air Guitar Nation,2007,,,Documentary,,,,"$71,471","Mar 23, 2007"
The Air I Breathe,2008,,,Drama,,,,"$25,775","Jan 25, 2008"
Air Racers 3D,2012,,,Documentary,,,,"$1,309,987","Apr 5, 2012"
The Air Up There,1994,,,Comedy,,,,"$20,782,439","Jan 7, 1994"
Airborne,1993,,,Comedy,,,,"$2,859,811","Sep 17, 1993"
Airborne,2012,,,Horror,,,,$0,"Sep 14, 2012"
Airheads,1994,,,Comedy,,,,"$5,021,868","Aug 5, 1994"
Airlift (2016),2016,,,Drama,,,,$0,"Dec 31, 2016"
Airplane!,1980,,,Comedy,,,,"$83,453,539","Jul 4, 1980"
Airplane II: The Sequel,1982,,,Comedy,,,,"$25,009,494","Dec 10, 1982"
Airport,1970,,,Thriller/Suspense,,,,"$100,489,150","Mar 5, 1970"
Airport 1975,1974,,,Thriller/Suspense,,,,"$47,285,152","Oct 18, 1974"
Airport '77,1977,,,Thriller/Suspense,,,,"$30,000,000","Mar 11, 1977"
Aisha,2010,,,Romantic Comedy,,,,"$298,431","Aug 6, 2010"
Aitraaz,2004,,,Thriller/Suspense,,,,$0,"Nov 12, 2004"
Aiyaa,2012,,,,,,,"$36,967","Oct 11, 2012"
Aiyaary,2018,,,Drama,,,,$0,"Feb 16, 2018"
Ajab Prem Ki Ghazab Kahani,2009,,,Comedy,,,,"$741,238","Nov 6, 2009"
Ajami,2010,,,Drama,,,,"$621,859","Feb 3, 2010"
Ajeoss,2010,,,Action,,,,$0,"Dec 31, 2010"
Ajin,2017,,,Action,,,,$0,"Dec 31, 2017"
Ajji,2017,,,Drama,,,,$0,"Dec 31, 2017"
AKA,2003,,,Drama,,,,"$48,079","Dec 12, 2003"
Akarui mirai,2004,,,Drama,,,,"$4,762","Nov 12, 2004"
Akeelah and the Bee,2006,,,Drama,,,,"$18,848,430","Apr 28, 2006"
Akenfield,1974,,,Drama,,,,$0,"Dec 31, 1974"
Akher Ayam El Madina,2018,,,Drama,,,,$0,"Apr 27, 2018"
Akhil,2015,,,Action,,,,$0,"Dec 31, 2015"
Akira,2001,,,Action,,,,"$19,585","Apr 27, 2001"
Akira,2016,,,Drama,,,,$0,"Dec 31, 2016"
Akmareul Boatda,2011,,,Thriller/Suspense,,,,"$129,210","Mar 4, 2011"
Aknyeo,2017,,,Action,,,,"$27,741","Aug 25, 2017"
Akron,2017,,,Drama,,,,$0,"Feb 7, 2017"
The Akron Holy War,2017,,,Documentary,,,,$0,"Dec 31, 2017"
Aksar 2,2017,,,Thriller/Suspense,,,,$0,"Dec 31, 2017"
Aku no Kyoten,2012,,,Thriller/Suspense,,,,$0,"Dec 31, 2012"
Al Berto,2017,,,Drama,,,,$0,"Dec 31, 2017"
Al Desierto,2017,,,Drama,,,,$0,"Dec 31, 2017"
Al di lÃ  delle nuvole,1999,,,Drama,,,,"$30,890","Dec 3, 1999"
Al final del tÃºnel,2016,,,Thriller/Suspense,,,,$0,"Dec 31, 2016"
Al Franken: God Spoke,2006,,,Documentary,,,,"$102,990","Sep 13, 2006"
Al Posto Tuo,2016,,,Comedy,,,,$0,"Dec 31, 2016"
Alabama Moon,2011,,,Adventure,,,,"$47,009","Mar 18, 2011"
Aladdin,1992,,,Adventure,,,,"$217,350,219","Nov 11, 1992"
Aladdin,2019,,,Adventure,,,,$0,"May 24, 2019"
Alamar,2010,,,Drama,,,,"$61,614","Jul 14, 2010"
Alamet-i Kiyamet,2016,,,Horror,,,,$0,"Dec 31, 2016"
Alamo Bay,1985,,,Drama,,,,"$380,970","Apr 3, 1985"
The Alamo,1960,,,Western,,,,"$7,900,000","Oct 24, 1960"
The Alamo,2004,,,Western,,,,"$22,406,362","Apr 9, 2004"
Alan Partridge,2014,,,Comedy,,,,"$153,426","Apr 4, 2014"
An Alan Smithee Film: Burn Hollywood Burn,1998,,,Comedy,,,,"$45,779","Feb 27, 1998"
Alanis,2017,,,Drama,,,,$0,"Dec 31, 2017"
The Alarmist,1998,,,Comedy,,,,"$55,986","Oct 16, 1998"
Alaska,1996,,,Adventure,,,,"$11,509,600","Aug 14, 1996"
Alaska,2015,,,Drama,,,,$0,"Dec 31, 2015"
Alatriste,2007,,,Adventure,,,,$0,"Dec 31, 2007"
Albatross,2012,,,Drama,,,,$0,"Jan 2, 2012"
Lâ€™albero degli zoccoli,2011,,,Drama,,,,$0,"Jun 29, 2011"
Albert,2015,,,Adventure,,,,$0,"Dec 31, 2015"
Albert Nobbs,2011,,,Drama,,,,"$3,014,696","Dec 21, 2011"
"Albert: Up, Up And Away!",2016,,,Adventure,,,,$0,"Apr 19, 2016"
Alberto Garcia-Alix. La linea de sombra,2017,,,Documentary,,,,$0,"Dec 31, 2017"
Albino Alligator,1997,,,Drama,,,,"$353,480","Jan 17, 1997"
Albino Farm,2009,,,,,,,$0,"Sep 22, 2009"
AlbÃ¼m,2016,,,Drama,,,,$0,"Dec 31, 2016"
Alcaldessa,2016,,,Documentary,,,,$0,"Dec 31, 2016"
Alceste a bicyclette,2013,,,Comedy,,,,"$385,165","May 3, 2013"
The Alchemist Cookbook,2016,,,Horror,,,,$0,"Oct 7, 2016"
The Alchemist,2011,,,Drama,,,,$0,"Dec 31, 2011"
Aldabra: Byl jednou jeden ostrov,2015,,,Adventure,,,,$0,"Dec 31, 2015"
Aleijadinho,2003,,,,,,,$857,"Jul 24, 2003"
Alem-i Cin,2017,,,Horror,,,,$0,"Dec 31, 2017"
Alena,2017,,,Horror,,,,$0,"May 9, 2017"
Alessandra Amoroso Per Ginevra Gioielli,2010,,,Concert/Performance,,,,$0,"Nov 23, 2010"
Alex & Emma,2003,,,Drama,,,,"$14,208,384","Jun 20, 2003"
Alex & Eve,2017,,,Romantic Comedy,,,,$0,"Oct 13, 2017"
Alex & Me,2011,,,Documentary,,,,$0,"Dec 31, 2011"
Alex Cross,2012,,,Thriller/Suspense,,,,"$25,888,412","Oct 19, 2012"
Alex of Venice,2015,,,Drama,,,,$0,"Apr 17, 2015"
Alex Rider: Operation Stormbreaker,2006,,,Action,,,,"$659,210","Oct 13, 2006"
Alex Strangelove,2018,,,Comedy,,,,$0,"Dec 31, 2018"
Alex:the floating planet,2017,,,Adventure,,,,$0,"Dec 31, 2017"
Alexander,2004,,,Adventure,,,,"$34,297,191","Nov 24, 2004"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",2014,,,Adventure,,,,"$66,954,149","Oct 10, 2014"
Alexander. Nevsky Battle,1938,,,,,,,$0,"Dec 31, 1938"
Alexander's Ragtime Band,1938,,,Drama,,,,"$4,000,000","Jan 1, 1938"
Alexandra,2008,,,Drama,,,,"$128,222","Mar 28, 2008"
Alexandra's Project,2003,,,Drama,,,,"$750,241","Dec 19, 2003"
Alfie,1966,,,Comedy,,,,"$18,871,300","Aug 24, 1966"
Alfie,2004,,,Comedy,,,,"$13,395,939","Nov 5, 2004"
The Algerian,2015,,,Thriller/Suspense,,,,$0,"Jun 26, 2015"
Algo Muy Gordo,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Algorithm,2011,,,Comedy,,,,$0,"Dec 31, 2011"
Algorithms,2014,,,Documentary,,,,"$2,021","Oct 17, 2014"
AlguÃ©m Como Eu,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Ali,2001,,,Drama,,,,"$58,183,966","Dec 25, 2001"
Ali & Cavett: The Tale of the Tapes,2017,,,Documentary,,,,$0,"Dec 31, 2017"
Ali and Nino,2016,,,Drama,,,,$0,"Nov 18, 2016"
Ali Baba ve 7 CÃ¼celer,2015,,,Comedy,,,,$0,"Dec 31, 2015"
Ali G Indahouse,2002,,,,,,,$0,"Dec 31, 2002"
Ali Kundilli 2,2015,,,Comedy,,,,$0,"Dec 31, 2015"
Alibaba Solomons Seal,2016,,,Action,,,,$0,"Dec 31, 2016"
Alibi.com,2016,,,Comedy,,,,$0,"Dec 31, 2016"
The Alibi,2006,,,Comedy,,,,$0,"Oct 31, 2006"
Alice,1990,,,Drama,,,,"$7,331,647","Dec 25, 1990"
Alice,2010,,,Adventure,,,,$0,"Mar 2, 2010"
Alice D,2016,,,Horror,,,,$0,"May 3, 2016"
Alice Doesn't Live Here Anymore,1975,,,Drama,,,,"$17,600,000","Jan 29, 1975"
Alice et Martin,2000,,,Drama,,,,"$743,115","Jul 21, 2000"
Alice in Wonderland,1951,,,Musical,,,,$0,"Jul 28, 1951"
Alice in Wonderland,2010,,,Adventure,,,,$0,"Mar 2, 2010"
Alice in Wonderland,2010,,,Adventure,,,,"$334,191,110","Mar 5, 2010"
Alice Neel,2007,,,,,,,"$48,969","Apr 20, 2007"
Alice + Freda Forever,2016,,,Drama,,,,$0,"Dec 31, 2016"
Alice's Adventures in Wonderland,2011,,,Concert/Performance,,,,$0,"Oct 25, 2011"
Alice Through the Looking Glass,2016,,,Adventure,,,,"$77,042,381","May 27, 2016"
Alice's Restaurant,1969,,,Comedy,,,,"$6,300,000","Aug 20, 1969"
Alien,1979,,,Horror,,,,"$80,930,630","May 25, 1979"
Alien 3,1992,,,Action,,,,"$54,927,174","May 22, 1992"
Alien Abduction,2014,,,Thriller/Suspense,,,,"$12,087","Apr 4, 2014"
Alien Adventure,2000,,,Adventure,,,,"$5,017,383","Apr 14, 2000"
Alien Armageddon,2011,,,,,,,$0,"Dec 31, 2011"
Alien Autopsy,2006,,,Comedy,,,,"$2,867","Sep 22, 2006"
Alien Contact: Outer Space,2017,,,Documentary,,,,$0,"Oct 10, 2017"
Alien: Covenant,2017,,,Horror,,,,"$74,262,031","May 19, 2017"
Alien Dawn,2012,,,,,,,$0,"Dec 31, 2012"
Alien Invasion: S.U.M.1,2017,,,Horror,,,,$0,"Dec 1, 2017"
Alien Nation,1988,,,Drama,,,,"$25,216,243","Oct 7, 1988"
Alien Outpost,2015,,,Thriller/Suspense,,,,$0,"Jan 30, 2015"
Alien: Resurrection,1997,,,Action,,,,"$47,795,018","Nov 26, 1997"
Alien Trespass,2009,,,Comedy,,,,"$104,526","Apr 3, 2009"
Alien Uprising,2013,,,Action,,,,$0,"Jun 21, 2013"
Alienator,2017,,,Action,,,,$0,"Jun 13, 2017"
Aliens,1986,,,Action,,,,"$85,160,248","Jul 18, 1986"
Aliens Ate My Homework,2018,,,Adventure,,,,$0,"Mar 6, 2018"
Aliens in the Attic,2009,,,Adventure,,,,"$25,200,412","Jul 31, 2009"
Aliens of the Deep,2005,,,Documentary,,,,"$8,968,684","Jan 28, 2005"
Aliens vs. Predator - Requiem,2007,,,Action,,,,"$41,797,066","Dec 25, 2007"
Aligarh,2016,,,Drama,,,,$0,"Feb 26, 2016"
Alila,2004,,,Drama,,,,"$48,493","Feb 27, 2004"
Alim adumim,2017,,,Drama,,,,$0,"Jul 25, 2017"
Alina,2017,,,Drama,,,,$0,"Sep 15, 2017"
Alinghi: The Inside Story - America's Cup 2003,2005,,,,,,,$0,"Feb 1, 2005"
Ali's Wedding,2017,,,Romantic Comedy,,,,$0,"Dec 31, 2017"
Alita: Battle Angel,2018,,,Action,,,,$0,"Dec 21, 2018"
Alive,1993,,,Adventure,,,,"$36,299,670","Jan 15, 1993"
Alive and Kicking,2017,,,Documentary,,,,"$68,485","Apr 7, 2017"
Alive and Kicking,1997,,,Comedy,,,,"$294,467","Jul 25, 1997"
Alive Inside,2014,,,Documentary,,,,"$256,682","Jul 18, 2014"
All About Christmas Eve,2012,,,,,,,$0,"Dec 31, 2012"
All About E,2015,,,Romantic Comedy,,,,$0,"Dec 1, 2015"
All About Eve,1950,,,Drama,,,,"$8,400,000","Oct 13, 1950"
All About Men,2016,,,Comedy,,,,$0,"Dec 31, 2016"
All About Steve,2009,,,Romantic Comedy,,,,"$33,862,903","Sep 4, 2009"
All About the Benjamins,2002,,,Comedy,,,,"$25,482,931","Mar 8, 2002"
All About the Money,2017,,,Action,,,,$0,"Jun 2, 2017"
All Access: Front Row. Backstage. Live!,2001,,,Concert/Performance,,,,"$995,122","Apr 6, 2001"
All American Bikini Car Wash,2016,,,Comedy,,,,$0,"Jun 21, 2016"
All American High Revisited,2015,,,Documentary,,,,$0,"Sep 15, 2015"
All American Orgy,2010,,,,,,,$0,"Dec 31, 2010"
All Babes Want to Kill Me,2005,,,Comedy,,,,"$11,975","Feb 16, 2005"
All Cheerleaders Die,2014,,,Black Comedy,,,,$0,"Jun 13, 2014"
All Dogs Go To Heaven,1989,,,Adventure,,,,"$26,220,877","Nov 17, 1989"
All Dogs Go To Heaven 2,1996,,,Adventure,,,,"$8,556,572","Mar 29, 1996"
All Eyez on Me,2017,,,Drama,,,,"$44,922,302","Jun 16, 2017"
All for One,2017,,,Documentary,,,,$0,"Dec 31, 2017"
All Good Things,2010,,,Drama,,,,"$582,024","Dec 3, 2010"
"All Governments Lie: Truth, Deception, and the Spirit of I.F. Stone",2016,,,Documentary,,,,$0,"Nov 1, 2016"
All Hallowsâ€™ Eve,2016,,,Adventure,,,,$0,"Sep 27, 2016"
All Hallow's Eve 2,2016,,,Horror,,,,$0,"Feb 2, 2016"
All Hat,2008,,,Comedy,,,,"$15,198","Jan 18, 2008"
All Hell Breaks Loose,2016,,,Action,,,,$0,"Mar 22, 2016"
All Hell to Pay,2010,,,,,,,$0,"Dec 31, 2010"
All I See is You,2017,,,Thriller/Suspense,,,,"$217,644","Oct 27, 2017"
All I Want,2016,,,Romantic Comedy,,,,$0,"Dec 31, 2016"
All I Want For Christmas,1991,,,Comedy,,,,"$14,812,144","Nov 8, 1991"
All I Want for Christmas,2010,,,Concert/Performance,,,,$0,"Oct 19, 2010"
All I Want is Christmas,2012,,,Adventure,,,,$0,"Nov 1, 2012"
All In: The Poker Movie,2012,,,Documentary,,,,$0,"Mar 23, 2012"
All in Good Time,2013,,,,,,,"$17,017","Feb 8, 2013"
All in Time,2016,,,Comedy,,,,$0,"Oct 7, 2016"
All is Bright,2013,,,Comedy,,,,"$4,556","Oct 4, 2013"
All is Lost,2013,,,Thriller/Suspense,,,,"$6,263,670","Oct 18, 2013"
All is Well,2015,,,Comedy,,,,$0,"Aug 21, 2015"
All Mistakes Buried,2015,,,Thriller/Suspense,,,,$0,"Jan 22, 2015"
All Night Long,1981,,,Comedy,,,,"$7,800,000","Mar 6, 1981"
All Nighter,2017,,,Comedy,,,,$0,"Mar 17, 2017"
All of Me,1984,,,Comedy,,,,"$35,243,581","Sep 21, 1984"
All of Me,2011,,,Comedy,,,,$0,"Dec 31, 2011"
All of Us,2008,,,Documentary,,,,$0,"Sep 19, 2008"
Allâ€™Opera: La Favorita,2016,,,Musical,,,,$0,"Jul 12, 2016"
All or Nothing,2002,,,Drama,,,,"$184,255","Oct 25, 2002"
All Over Me,1997,,,Drama,,,,"$281,175","Apr 25, 1997"
All Over the Guy,2001,,,Romantic Comedy,,,,"$1,006,969","Aug 10, 2001"
All Quiet on the Western Front,1930,,,Action,,,,$0,"Apr 21, 1930"
All Quiet on the Western Front,2011,,,Drama,,,,$0,"Dec 31, 2011"
All Relative,2015,,,Romantic Comedy,,,,$0,"Jun 22, 2015"
All Roads Lead Home,2008,,,Drama,,,,"$43,905","Sep 26, 2008"
All Roads Lead to Rome,2016,,,Romantic Comedy,,,,$0,"Mar 1, 2016"
All Saints,2017,,,Drama,,,,"$5,802,208","Aug 25, 2017"
All She Wrote,2017,,,Romantic Comedy,,,,$0,"Dec 31, 2017"
All Souls Day: Dia de los Muertos,2004,,,,,,,$0,"Dec 31, 2004"
All Square,2017,,,Drama,,,,$0,"Dec 31, 2017"
All Star Superman,2011,,,Action,,,,$0,"Feb 22, 2011"
All Stars,2013,,,Adventure,,,,$0,"Dec 31, 2013"
All Superheroes Must Die,2013,,,Thriller/Suspense,,,,$0,"Jan 4, 2013"
All That Heaven Allows,2014,,,Drama,,,,$0,"Jun 10, 2014"
All That I Need,2005,,,Drama,,,,$0,"Dec 2, 2005"
All That Jazz,1979,,,Drama,,,,"$37,823,676","Dec 20, 1979"
All the Best: Fun Begins,2009,,,,,,,"$120,713","Oct 16, 2009"
All the Boys Love Mandy Lane,2013,,,Horror,,,,$0,"Oct 11, 2013"
All the Bright Places,2017,,,Drama,,,,$0,"Dec 31, 2017"
All the King's Men,2006,,,Drama,,,,"$7,221,458","Sep 22, 2006"
All the Light in the Sky,2013,,,Drama,,,,$0,"Dec 20, 2013"
All the Little Animals,1999,,,Thriller/Suspense,,,,"$23,349","Sep 3, 1999"
All the Marbles,1981,,,,,,,"$4,300,000","Oct 16, 1981"
All the Money in the World,2017,,,Thriller/Suspense,,,,"$25,076,269","Dec 25, 2017"
All the Old Knives,2016,,,Thriller/Suspense,,,,$0,"Dec 31, 2016"
All the President's Men,1976,,,Drama,,,,"$51,048,435","Apr 2, 1976"
All the Pretty Horses,2000,,,Western,,,,"$15,527,125","Dec 22, 2000"
All the Queen's Men,2002,,,Comedy,,,,"$22,723","Oct 25, 2002"
All the Rage,1998,,,Comedy,,,,"$198,553","Oct 16, 1998"
All the Rage,2000,,,,,,,"$9,268","Jul 7, 2000"
All the Rage (Saved by Sarno),2017,,,Documentary,,,,"$18,489","Jun 23, 2017"
All the Real Girls,2003,,,Drama,,,,"$549,666","Feb 14, 2003"
All the Right Moves,1983,,,Drama,,,,"$17,200,000","Oct 21, 1983"
All the Way,2016,,,Drama,,,,$0,"Jul 11, 2016"
All the Wilderness,2015,,,Drama,,,,$0,"Jan 20, 2015"
All Things Fall Apart,2012,,,Drama,,,,$0,"Feb 14, 2012"
All Things Must Pass,2015,,,Documentary,,,,"$166,872","Oct 16, 2015"
All This Panic,2017,,,Documentary,,,,$0,"Mar 31, 2017"
All We Had,2016,,,Drama,,,,$0,"Dec 9, 2016"
All Work All Play,2015,,,Documentary,,,,$0,"Dec 31, 2015"
All You Need Is Love,2014,,,Documentary,,,,$0,"Oct 31, 2014"
Allah Made Me Funny,2008,,,Documentary,,,,"$66,903","Oct 3, 2008"
Allan Quatermain and the Lost City,1987,,,Adventure,,,,"$3,751,699","Jan 30, 1987"
Alle Anderen,2010,,,Drama,,,,"$102,042","Apr 9, 2010"
Allegiance,2013,,,Thriller/Suspense,,,,$0,"Jan 15, 2013"
Allegro,2007,,,Drama,,,,"$7,346","May 9, 2007"
AllÃ©luia,2015,,,Thriller/Suspense,,,,"$6,334","Jul 17, 2015"
Alleluia! The Devil's Carnival,2015,,,Musical,,,,$0,"Aug 11, 2015"
L'allenatore nel pallone 2,2008,,,Comedy,,,,$0,"Dec 31, 2008"
Alles is Liefde,2007,,,,,,,$0,"Dec 31, 2007"
Alles unter Kontrolle,2015,,,Documentary,,,,$0,"Dec 31, 2015"
Alles Voor Elkaar,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Allied,2016,,,Drama,,,,"$40,098,064","Nov 23, 2016"
The Allnighter,1987,,,Comedy,,,,"$2,700,000","May 1, 1987"
All's Faire in Love,2011,,,Romantic Comedy,,,,"$22,180","Oct 28, 2011"
Allure,2015,,,Drama,,,,"$3,130","Mar 6, 2015"
Allure,2018,,,Thriller/Suspense,,,,$0,"Mar 16, 2018"
Den Allvarsamma Leken,2016,,,Drama,,,,$0,"Dec 31, 2016"
Allyson Is Watching,1997,,,Drama,,,,$0,"Dec 31, 1997"
Alma,2015,,,Romantic Comedy,,,,$0,"Dec 31, 2015"
Almeida Live: Richard III 2016,2016,,,Concert/Performance,,,,$0,"Dec 31, 2016"
Almost Amazing,2017,,,Romantic Comedy,,,,$0,"Aug 9, 2017"
Almost An Angel,1990,,,Comedy,,,,"$6,633,976","Dec 19, 1990"
Almost Christmas,2016,,,Drama,,,,"$42,065,185","Nov 11, 2016"
Almost Dead,1994,,,Horror,,,,$0,"Dec 31, 1994"
Almost Famous,2000,,,Comedy,,,,"$32,522,352","Sep 15, 2000"
Almost Friends,2017,,,Comedy,,,,$0,"Nov 17, 2017"
The Almost Guys,2006,,,Comedy,,,,$0,"Apr 21, 2006"
Almost Heaven,2016,,,Documentary,,,,$0,"Dec 31, 2016"
Almost Heroes,1998,,,Comedy,,,,"$6,175,688","May 29, 1998"
Almost Home,2014,,,,,,,$0,"Dec 31, 2014"
Almost Human,2014,,,Horror,,,,"$5,710","Feb 21, 2014"
Almost Peaceful,2004,,,Drama,,,,"$91,110","Aug 22, 2004"
An Almost Perfect Affair,1979,,,Romantic Comedy,,,,$0,"Apr 27, 1979"
Almost Salinas,2003,,,Comedy,,,,"$120,011","May 9, 2003"
Almost Sunrise,2017,,,Documentary,,,,$0,"Jul 14, 2017"
Almost You,1985,,,Romantic Comedy,,,,$0,"Mar 29, 1985"
Aloft,2015,,,Drama,,,,"$53,086","May 22, 2015"
Aloha,2015,,,Drama,,,,"$21,052,030","May 29, 2015"
Aloha Santa,2016,,,Adventure,,,,$0,"Dec 31, 2016"
Aloma of the South Seas,1926,,,Drama,,,,"$3,000,000","May 16, 1926"
Alone in Berlin,2017,,,Drama,,,,$0,"Jun 13, 2017"
Alone in the Dark,2005,,,Horror,,,,"$5,178,569","Jan 28, 2005"
Alone in the Dark,1982,,,,,,,$0,"Dec 31, 1982"
Alone with Her,2007,,,Thriller/Suspense,,,,"$10,787","Jan 17, 2007"
Alone Yet Not Alone,2014,,,Drama,,,,"$795,755","Jun 13, 2014"
Along Came a Spider,2001,,,Thriller/Suspense,,,,"$74,058,698","Apr 6, 2001"
Along Came Polly,2004,,,Romantic Comedy,,,,"$88,073,507","Jan 16, 2004"
Along for the Ride,2018,,,Documentary,,,,$0,"Feb 6, 2018"
Along the Roadside,2015,,,Comedy,,,,$0,"Mar 24, 2015"
Along With The Gods: The Two Worlds,2017,,,Action,,,,"$1,908,822","Dec 22, 2017"
Alongside Night,2014,,,Adventure,,,,$0,"Dec 31, 2014"
Aloys,2015,,,Drama,,,,$0,"Dec 31, 2015"
Alpeis,2012,,,Drama,,,,"$16,057","Jul 13, 2012"
Alpha,2018,,,Adventure,,,,$0,"Sep 14, 2018"
Alpha Alert,2014,,,,,,,$0,"Dec 31, 2014"
Alpha and Omega 3D,2010,,,Adventure,,,,"$25,107,267","Sep 17, 2010"
Alpha and Omega 2: A Howl-iday Adventure,2013,,,Adventure,,,,$0,"Oct 8, 2013"
Alpha And Omega: Dino Digs,2016,,,Adventure,,,,$0,"May 10, 2016"
Alpha and Omega: Family Vacation,2015,,,Adventure,,,,$0,"Aug 4, 2015"
